"ID","ChoiceSet","Alternative","Weed","Crawl","Fly","Cost","F","ChosenAlternative"
1,1,1,25,10,20,0,0,2
1,1,2,20,2,8,60,0,2
1,1,3,25,10,4,80,0,2
1,2,1,25,10,20,0,0,3
1,2,2,15,10,16,20,0,3
1,2,3,20,2,4,80,0,3
1,3,1,25,10,20,0,0,3
1,3,2,15,2,20,60,0,3
1,3,3,5,6,4,60,0,3
1,4,1,25,10,20,0,0,3
1,4,2,25,2,20,100,0,3
1,4,3,20,8,4,40,0,3
1,5,1,25,10,20,0,0,3
1,5,2,20,8,20,60,0,3
1,5,3,10,2,20,100,0,3
2,1,1,25,10,20,0,0,3
2,1,2,20,8,12,100,0,3
2,1,3,15,4,12,100,0,3
2,2,1,25,10,20,0,0,1
2,2,2,25,4,16,20,0,1
2,2,3,10,4,12,100,0,1
2,3,1,25,10,20,0,0,2
2,3,2,5,2,20,100,0,2
2,3,3,10,6,12,80,0,2
2,4,1,25,10,20,0,0,3
2,4,2,25,4,8,40,0,3
2,4,3,20,8,4,60,0,3
2,5,1,25,10,20,0,0,2
2,5,2,10,2,12,60,0,2
2,5,3,15,4,20,20,0,2
3,1,1,25,10,20,0,0,3
3,1,2,5,10,12,40,0,3
3,1,3,10,4,8,40,0,3
3,2,1,25,10,20,0,0,2
3,2,2,5,6,4,80,0,2
3,2,3,25,8,20,40,0,2
3,3,1,25,10,20,0,0,3
3,3,2,20,4,12,20,0,3
3,3,3,10,4,12,60,0,3
3,4,1,25,10,20,0,0,1
3,4,2,20,2,12,100,0,1
3,4,3,5,8,16,80,0,1
3,5,1,25,10,20,0,0,2
3,5,2,15,2,12,60,0,2
3,5,3,15,8,20,20,0,2
4,1,1,25,10,20,0,0,3
4,1,2,10,2,16,100,0,3
4,1,3,20,2,12,20,0,3
4,2,1,25,10,20,0,0,3
4,2,2,20,8,8,20,0,3
4,2,3,10,2,20,20,0,3
4,3,1,25,10,20,0,0,3
4,3,2,5,8,16,100,0,3
4,3,3,15,2,20,60,0,3
4,4,1,25,10,20,0,0,2
4,4,2,5,4,8,40,0,2
4,4,3,5,2,12,60,0,2
4,5,1,25,10,20,0,0,3
4,5,2,20,2,16,100,0,3
4,5,3,20,2,12,100,0,3
5,1,1,25,10,20,0,1,3
5,1,2,10,6,16,80,1,3
5,1,3,10,8,4,20,1,3
5,2,1,25,10,20,0,1,3
5,2,2,20,2,16,60,1,3
5,2,3,10,8,4,20,1,3
5,3,1,25,10,20,0,1,2
5,3,2,10,10,20,60,1,2
5,3,3,25,6,20,80,1,2
5,4,1,25,10,20,0,1,2
5,4,2,10,8,4,60,1,2
5,4,3,20,4,16,40,1,2
5,5,1,25,10,20,0,1,3
5,5,2,5,8,20,20,1,3
5,5,3,15,2,4,100,1,3
6,1,1,25,10,20,0,0,2
6,1,2,15,8,8,60,0,2
6,1,3,10,8,12,20,0,2
6,2,1,25,10,20,0,0,3
6,2,2,25,10,20,60,0,3
6,2,3,5,2,8,20,0,3
6,3,1,25,10,20,0,0,2
6,3,2,20,8,16,100,0,2
6,3,3,25,6,20,20,0,2
6,4,1,25,10,20,0,0,2
6,4,2,5,2,16,100,0,2
6,4,3,5,2,20,60,0,2
6,5,1,25,10,20,0,0,2
6,5,2,5,2,8,20,0,2
6,5,3,5,8,20,80,0,2
7,1,1,25,10,20,0,1,2
7,1,2,5,8,16,20,1,2
7,1,3,20,6,20,100,1,2
7,2,1,25,10,20,0,1,2
7,2,2,10,2,12,40,1,2
7,2,3,20,6,16,20,1,2
7,3,1,25,10,20,0,1,3
7,3,2,20,10,20,20,1,3
7,3,3,25,8,12,80,1,3
7,4,1,25,10,20,0,1,3
7,4,2,5,8,16,20,1,3
7,4,3,25,10,4,20,1,3
7,5,1,25,10,20,0,1,3
7,5,2,20,10,8,60,1,3
7,5,3,5,8,8,60,1,3
8,1,1,25,10,20,0,0,2
8,1,2,10,6,12,100,0,2
8,1,3,15,4,20,100,0,2
8,2,1,25,10,20,0,0,3
8,2,2,15,4,20,20,0,3
8,2,3,20,4,4,20,0,3
8,3,1,25,10,20,0,0,3
8,3,2,25,2,12,20,0,3
8,3,3,5,10,12,20,0,3
8,4,1,25,10,20,0,0,3
8,4,2,25,8,12,100,0,3
8,4,3,5,6,20,20,0,3
8,5,1,25,10,20,0,0,2
8,5,2,10,10,12,60,0,2
8,5,3,20,8,4,100,0,2
9,1,1,25,10,20,0,0,2
9,1,2,5,6,12,100,0,2
9,1,3,10,4,16,20,0,2
9,2,1,25,10,20,0,0,2
9,2,2,20,4,8,40,0,2
9,2,3,20,4,4,40,0,2
9,3,1,25,10,20,0,0,3
9,3,2,20,2,16,40,0,3
9,3,3,10,2,20,60,0,3
9,4,1,25,10,20,0,0,3
9,4,2,15,8,4,100,0,3
9,4,3,20,2,8,20,0,3
9,5,1,25,10,20,0,0,2
9,5,2,15,2,4,80,0,2
9,5,3,20,6,20,60,0,2
10,1,1,25,10,20,0,0,3
10,1,2,10,6,12,60,0,3
10,1,3,5,8,20,40,0,3
10,2,1,25,10,20,0,0,3
10,2,2,25,4,4,20,0,3
10,2,3,5,2,12,20,0,3
10,3,1,25,10,20,0,0,3
10,3,2,15,2,16,80,0,3
10,3,3,25,10,4,80,0,3
10,4,1,25,10,20,0,0,3
10,4,2,5,4,12,60,0,3
10,4,3,15,10,4,100,0,3
10,5,1,25,10,20,0,0,3
10,5,2,5,8,12,60,0,3
10,5,3,15,2,8,20,0,3
11,1,1,25,10,20,0,0,3
11,1,2,5,6,20,80,0,3
11,1,3,25,2,8,60,0,3
11,2,1,25,10,20,0,0,3
11,2,2,20,4,8,40,0,3
11,2,3,25,4,4,20,0,3
11,3,1,25,10,20,0,0,2
11,3,2,25,10,4,100,0,2
11,3,3,25,10,16,20,0,2
11,4,1,25,10,20,0,0,2
11,4,2,15,2,16,20,0,2
11,4,3,10,4,4,100,0,2
11,5,1,25,10,20,0,0,3
11,5,2,10,10,16,20,0,3
11,5,3,5,10,4,40,0,3
12,1,1,25,10,20,0,0,3
12,1,2,25,8,16,40,0,3
12,1,3,10,8,8,100,0,3
12,2,1,25,10,20,0,0,1
12,2,2,15,10,12,80,0,1
12,2,3,5,6,8,80,0,1
12,3,1,25,10,20,0,0,2
12,3,2,10,10,8,60,0,2
12,3,3,5,4,16,80,0,2
12,4,1,25,10,20,0,0,3
12,4,2,25,10,8,100,0,3
12,4,3,5,2,4,100,0,3
12,5,1,25,10,20,0,0,2
12,5,2,10,6,16,20,0,2
12,5,3,10,4,12,20,0,2
13,1,1,25,10,20,0,0,2
13,1,2,5,6,4,80,0,2
13,1,3,5,8,20,80,0,2
13,2,1,25,10,20,0,0,2
13,2,2,20,8,4,80,0,2
13,2,3,15,10,20,100,0,2
13,3,1,25,10,20,0,0,3
13,3,2,25,10,12,40,0,3
13,3,3,20,4,4,100,0,3
13,4,1,25,10,20,0,0,2
13,4,2,5,8,4,80,0,2
13,4,3,10,8,8,60,0,2
13,5,1,25,10,20,0,0,3
13,5,2,25,10,20,100,0,3
13,5,3,15,2,20,40,0,3
14,1,1,25,10,20,0,1,2
14,1,2,25,10,8,80,1,2
14,1,3,25,10,4,100,1,2
14,2,1,25,10,20,0,1,3
14,2,2,20,8,20,80,1,3
14,2,3,15,4,4,40,1,3
14,3,1,25,10,20,0,1,3
14,3,2,5,6,20,100,1,3
14,3,3,25,4,12,20,1,3
14,4,1,25,10,20,0,1,2
14,4,2,10,6,8,100,1,2
14,4,3,25,10,8,40,1,2
14,5,1,25,10,20,0,1,2
14,5,2,25,6,20,80,1,2
14,5,3,20,10,16,20,1,2
15,1,1,25,10,20,0,0,2
15,1,2,5,10,4,80,0,2
15,1,3,5,2,20,60,0,2
15,2,1,25,10,20,0,0,3
15,2,2,5,10,16,60,0,3
15,2,3,10,10,20,20,0,3
15,3,1,25,10,20,0,0,3
15,3,2,20,2,12,100,0,3
15,3,3,10,6,12,80,0,3
15,4,1,25,10,20,0,0,2
15,4,2,5,10,12,80,0,2
15,4,3,5,6,20,100,0,2
15,5,1,25,10,20,0,0,2
15,5,2,10,2,20,40,0,2
15,5,3,25,4,16,60,0,2
16,1,1,25,10,20,0,0,1
16,1,2,5,2,20,60,0,1
16,1,3,20,8,16,100,0,1
16,2,1,25,10,20,0,0,3
16,2,2,15,6,16,20,0,3
16,2,3,20,6,12,60,0,3
16,3,1,25,10,20,0,0,1
16,3,2,5,2,16,60,0,1
16,3,3,10,4,20,40,0,1
16,4,1,25,10,20,0,0,3
16,4,2,5,10,20,80,0,3
16,4,3,10,4,8,20,0,3
16,5,1,25,10,20,0,0,2
16,5,2,5,8,8,100,0,2
16,5,3,20,6,20,40,0,2
17,1,1,25,10,20,0,0,1
17,1,2,25,4,20,60,0,1
17,1,3,5,6,12,100,0,1
17,2,1,25,10,20,0,0,3
17,2,2,10,8,20,20,0,3
17,2,3,20,2,12,60,0,3
17,3,1,25,10,20,0,0,3
17,3,2,5,8,12,40,0,3
17,3,3,20,8,12,20,0,3
17,4,1,25,10,20,0,0,3
17,4,2,20,4,16,80,0,3
17,4,3,20,8,4,100,0,3
17,5,1,25,10,20,0,0,3
17,5,2,10,2,20,80,0,3
17,5,3,5,4,4,100,0,3
18,1,1,25,10,20,0,0,2
18,1,2,10,10,12,60,0,2
18,1,3,25,10,20,100,0,2
18,2,1,25,10,20,0,0,3
18,2,2,20,2,20,80,0,3
18,2,3,5,2,8,20,0,3
18,3,1,25,10,20,0,0,3
18,3,2,5,4,16,100,0,3
18,3,3,15,2,12,100,0,3
18,4,1,25,10,20,0,0,2
18,4,2,15,6,16,20,0,2
18,4,3,15,6,12,80,0,2
18,5,1,25,10,20,0,0,2
18,5,2,15,8,16,20,0,2
18,5,3,25,2,12,80,0,2
19,1,1,25,10,20,0,1,2
19,1,2,15,4,12,60,1,2
19,1,3,5,6,16,20,1,2
19,2,1,25,10,20,0,1,3
19,2,2,20,2,16,100,1,3
19,2,3,25,6,4,40,1,3
19,3,1,25,10,20,0,1,3
19,3,2,25,10,20,40,1,3
19,3,3,10,2,16,60,1,3
19,4,1,25,10,20,0,1,1
19,4,2,25,6,8,60,1,1
19,4,3,5,8,20,40,1,1
19,5,1,25,10,20,0,1,3
19,5,2,15,2,20,100,1,3
19,5,3,10,10,20,60,1,3
20,1,1,25,10,20,0,0,3
20,1,2,20,8,20,40,0,3
20,1,3,20,2,20,40,0,3
20,2,1,25,10,20,0,0,2
20,2,2,25,6,4,60,0,2
20,2,3,15,8,12,60,0,2
20,3,1,25,10,20,0,0,3
20,3,2,15,2,20,60,0,3
20,3,3,20,6,20,60,0,3
20,4,1,25,10,20,0,0,3
20,4,2,20,4,20,80,0,3
20,4,3,10,4,4,100,0,3
20,5,1,25,10,20,0,0,2
20,5,2,10,6,4,20,0,2
20,5,3,15,8,8,80,0,2
21,1,1,25,10,20,0,1,2
21,1,2,25,6,8,60,1,2
21,1,3,25,2,20,40,1,2
21,2,1,25,10,20,0,1,2
21,2,2,20,2,12,80,1,2
