id,ChoiceSet,Alt,Wetland,Bird,Fish,Cost,Choice,Occupation,Age
1,1,1,40,5,2,0,3,3,30
1,1,2,160,9,12,30,3,3,30
1,1,3,80,9,6,10,3,3,30
1,2,1,40,5,2,0,3,3,30
1,2,2,80,9,6,50,3,3,30
1,2,3,120,21,6,10,3,3,30
1,3,1,40,5,2,0,1,3,30
1,3,2,160,21,6,50,1,3,30
1,3,3,120,15,6,30,1,3,30
1,4,1,40,5,2,0,2,3,30
1,4,2,160,15,6,10,2,3,30
1,4,3,80,9,6,10,2,3,30
1,5,1,40,5,2,0,2,3,30
1,5,2,80,15,12,10,2,3,30
1,5,3,80,9,6,30,2,3,30
1,6,1,40,5,2,0,3,3,30
1,6,2,120,9,9,10,3,3,30
1,6,3,80,21,12,10,3,3,30
2,1,1,40,5,2,0,1,3,28
2,1,2,160,9,12,30,1,3,28
2,1,3,80,9,6,10,1,3,28
2,2,1,40,5,2,0,3,3,28
2,2,2,80,9,6,50,3,3,28
2,2,3,120,21,6,10,3,3,28
2,3,1,40,5,2,0,1,3,28
2,3,2,160,21,6,50,1,3,28
2,3,3,120,15,6,30,1,3,28
2,4,1,40,5,2,0,2,3,28
2,4,2,160,15,6,10,2,3,28
2,4,3,80,9,6,10,2,3,28
2,5,1,40,5,2,0,2,3,28
2,5,2,80,15,12,10,2,3,28
2,5,3,80,9,6,30,2,3,28
2,6,1,40,5,2,0,3,3,28
2,6,2,120,9,9,10,3,3,28
2,6,3,80,21,12,10,3,3,28
3,1,1,40,5,2,0,1,1,58
3,1,2,160,9,12,30,1,1,58
3,1,3,80,9,6,10,1,1,58
3,2,1,40,5,2,0,3,1,58
3,2,2,80,9,6,50,3,1,58
3,2,3,120,21,6,10,3,1,58
3,3,1,40,5,2,0,1,1,58
3,3,2,160,21,6,50,1,1,58
3,3,3,120,15,6,30,1,1,58
3,4,1,40,5,2,0,2,1,58
3,4,2,160,15,6,10,2,1,58
3,4,3,80,9,6,10,2,1,58
3,5,1,40,5,2,0,2,1,58
3,5,2,80,15,12,10,2,1,58
3,5,3,80,9,6,30,2,1,58
3,6,1,40,5,2,0,3,1,58
3,6,2,120,9,9,10,3,1,58
3,6,3,80,21,12,10,3,1,58
4,1,1,40,5,2,0,3,0,30
4,1,2,160,9,12,30,3,0,30
4,1,3,80,9,6,10,3,0,30
4,2,1,40,5,2,0,3,0,30
4,2,2,80,9,6,50,3,0,30
4,2,3,120,21,6,10,3,0,30
4,3,1,40,5,2,0,1,0,30
